,id,race_created,race_driven,track_id,challenger,opponent,money,fuel_consumption,winner,status,forecast,weather
0,1,06.03.2012,06.03.2012 00:00,12,5,2,30,0.63,5,finished,"a:4:{s:5:""sunny"";i:10;s:5:""rainy"";i:70;s:8:""thundery"";i:0;s:5:""snowy"";i:20;}",rainy
1,2,06.03.2012,06.03.2012 00:03,12,5,4,30,0.63,4,finished,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:15;s:8:""thundery"";i:0;s:5:""snowy"";i:15;}",sunny
2,3,06.03.2012,0000-00-00 00:00:00,3,10,5,30,0.63,0,declined,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:10;s:8:""thundery"";i:15;s:5:""snowy"";i:5;}",
3,4,06.03.2012,06.03.2012 00:06,12,5,4,30,0.63,5,finished,"a:4:{s:5:""sunny"";i:25;s:5:""rainy"";i:75;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
4,5,06.03.2012,0000-00-00 00:00:00,12,4,5,30,0.63,0,declined,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:20;s:8:""thundery"";i:30;s:5:""snowy"";i:5;}",
5,6,06.03.2012,06.03.2012 00:17,12,5,10,100,0.63,5,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:20;s:8:""thundery"";i:5;s:5:""snowy"";i:45;}",snowy
6,7,06.03.2012,0000-00-00 00:00:00,12,8,5,30,0.63,0,declined,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:5;s:8:""thundery"";i:10;s:5:""snowy"";i:5;}",
7,8,06.03.2012,0000-00-00 00:00:00,12,8,2,30,0.63,0,retired,"a:4:{s:5:""sunny"";i:95;s:5:""rainy"";i:5;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",
8,9,06.03.2012,06.03.2012 00:08,3,10,4,30,0.63,4,finished,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:40;s:8:""thundery"";i:10;s:5:""snowy"";i:5;}",sunny
9,10,06.03.2012,06.03.2012 00:10,12,8,10,30,0.63,10,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
10,11,06.03.2012,06.03.2012 00:11,12,4,8,30,0.63,8,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:15;s:8:""thundery"";i:5;s:5:""snowy"";i:5;}",rainy
11,12,06.03.2012,06.03.2012 00:15,12,5,8,50,0.63,8,finished,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:10;s:8:""thundery"";i:0;s:5:""snowy"";i:10;}",sunny
12,13,06.03.2012,06.03.2012 00:21,12,5,8,70,0.63,5,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:35;s:8:""thundery"";i:45;s:5:""snowy"";i:5;}",thundery
13,14,06.03.2012,06.03.2012 00:20,12,5,3,30,0.63,3,finished,"a:4:{s:5:""sunny"";i:90;s:5:""rainy"";i:5;s:8:""thundery"";i:5;s:5:""snowy"";i:0;}",sunny
14,15,06.03.2012,06.03.2012 00:24,12,3,5,30,0.375,3,finished,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:10;s:8:""thundery"";i:0;s:5:""snowy"";i:10;}",sunny
15,16,06.03.2012,06.03.2012 00:25,12,5,3,30,0.63,5,finished,"a:4:{s:5:""sunny"";i:0;s:5:""rainy"";i:0;s:8:""thundery"";i:50;s:5:""snowy"";i:50;}",thundery
16,17,06.03.2012,0000-00-00 00:00:00,12,3,8,30,0.375,0,declined,"a:4:{s:5:""sunny"";i:95;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",
17,18,06.03.2012,0000-00-00 00:00:00,12,8,10,30,0.63,0,retired,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:65;s:8:""thundery"";i:5;s:5:""snowy"";i:10;}",
18,19,06.03.2012,06.03.2012 00:30,12,8,3,50,0.63,8,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
19,20,06.03.2012,06.03.2012 00:41,12,3,8,30,0.375,8,finished,"a:4:{s:5:""sunny"";i:5;s:5:""rainy"";i:60;s:8:""thundery"";i:5;s:5:""snowy"";i:30;}",thundery
20,21,06.03.2012,06.03.2012 00:41,12,3,8,30,0.375,8,finished,"a:4:{s:5:""sunny"";i:90;s:5:""rainy"";i:10;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
21,22,06.03.2012,06.03.2012 00:41,12,3,20,30,0.375,20,finished,"a:4:{s:5:""sunny"";i:40;s:5:""rainy"";i:60;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
22,23,06.03.2012,0000-00-00 00:00:00,12,8,3,30,0.645,0,retired,"a:4:{s:5:""sunny"";i:35;s:5:""rainy"";i:40;s:8:""thundery"";i:10;s:5:""snowy"";i:15;}",
23,24,06.03.2012,06.03.2012 00:43,12,8,20,30,0.645,8,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:80;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",rainy
24,25,06.03.2012,0000-00-00 00:00:00,12,8,0,30,0.645,0,retired,"a:4:{s:5:""sunny"";i:60;s:5:""rainy"";i:40;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",
25,26,06.03.2012,06.03.2012 00:47,12,8,20,30,0.645,8,finished,"a:4:{s:5:""sunny"";i:5;s:5:""rainy"";i:45;s:8:""thundery"";i:50;s:5:""snowy"";i:0;}",thundery
26,27,06.03.2012,0000-00-00 00:00:00,12,20,1,50,0.375,0,retired,"a:4:{s:5:""sunny"";i:35;s:5:""rainy"";i:5;s:8:""thundery"";i:50;s:5:""snowy"";i:10;}",
27,28,06.03.2012,06.03.2012 07:25,12,20,5,50,0.375,5,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:10;s:8:""thundery"";i:70;s:5:""snowy"";i:5;}",sunny
28,29,06.03.2012,06.03.2012 00:51,12,20,22,30,0.375,22,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:45;s:8:""thundery"";i:15;s:5:""snowy"";i:10;}",sunny
29,30,06.03.2012,06.03.2012 00:55,12,20,8,50,0.375,8,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:15;s:8:""thundery"";i:5;s:5:""snowy"";i:5;}",sunny
30,31,06.03.2012,06.03.2012 00:55,12,22,8,30,0.375,8,finished,"a:4:{s:5:""sunny"";i:40;s:5:""rainy"";i:5;s:8:""thundery"";i:35;s:5:""snowy"";i:20;}",sunny
31,32,06.03.2012,0000-00-00 00:00:00,12,8,22,50,0.645,0,declined,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:55;}",
32,33,06.03.2012,0000-00-00 00:00:00,12,8,0,30,0.645,0,retired,"a:4:{s:5:""sunny"";i:60;s:5:""rainy"";i:5;s:8:""thundery"";i:5;s:5:""snowy"";i:30;}",
33,34,06.03.2012,06.03.2012 05:21,12,8,21,30,0.645,21,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:5;s:8:""thundery"";i:10;s:5:""snowy"";i:10;}",thundery
34,35,06.03.2012,0000-00-00 00:00:00,12,8,14,30,0.645,0,retired,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:70;s:8:""thundery"";i:0;s:5:""snowy"";i:15;}",
35,36,06.03.2012,0000-00-00 00:00:00,12,8,2,30,0.645,0,retired,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:15;s:8:""thundery"";i:0;s:5:""snowy"";i:15;}",
36,37,06.03.2012,06.03.2012 06:50,12,21,30,30,0.915,21,finished,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:15;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",sunny
37,38,06.03.2012,06.03.2012 06:50,12,21,8,30,0.915,8,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
38,39,06.03.2012,0000-00-00 00:00:00,12,8,29,30,0.795,0,retired,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:10;s:8:""thundery"";i:25;s:5:""snowy"";i:45;}",
39,40,06.03.2012,0000-00-00 00:00:00,12,8,30,30,0.795,0,retired,"a:4:{s:5:""sunny"";i:65;s:5:""rainy"";i:20;s:8:""thundery"";i:15;s:5:""snowy"";i:0;}",
40,41,06.03.2012,06.03.2012 08:34,12,5,20,30,0.66,20,finished,"a:4:{s:5:""sunny"";i:35;s:5:""rainy"";i:45;s:8:""thundery"";i:5;s:5:""snowy"";i:15;}",snowy
41,42,06.03.2012,06.03.2012 07:42,12,5,8,30,0.75,8,finished,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:10;s:8:""thundery"";i:0;s:5:""snowy"";i:70;}",sunny
42,43,06.03.2012,06.03.2012 14:31,12,5,36,30,0.765,36,finished,"a:4:{s:5:""sunny"";i:25;s:5:""rainy"";i:65;s:8:""thundery"";i:0;s:5:""snowy"";i:10;}",sunny
43,44,06.03.2012,06.03.2012 08:21,12,20,46,30,0.51,20,finished,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:20;s:8:""thundery"";i:45;s:5:""snowy"";i:15;}",rainy
44,45,06.03.2012,0000-00-00 00:00:00,12,20,19,30,0.51,0,retired,"a:4:{s:5:""sunny"";i:95;s:5:""rainy"";i:5;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",
45,46,06.03.2012,0000-00-00 00:00:00,12,5,20,150,0.765,0,retired,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:15;s:8:""thundery"";i:0;s:5:""snowy"";i:5;}",
46,47,06.03.2012,0000-00-00 00:00:00,12,5,46,50,0.765,0,declined,"a:4:{s:5:""sunny"";i:25;s:5:""rainy"";i:25;s:8:""thundery"";i:25;s:5:""snowy"";i:25;}",
47,48,06.03.2012,0000-00-00 00:00:00,12,5,46,30,0.765,0,declined,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:40;s:8:""thundery"";i:0;s:5:""snowy"";i:15;}",
48,49,06.03.2012,06.03.2012 08:32,12,20,5,30,0.51,20,finished,"a:4:{s:5:""sunny"";i:65;s:5:""rainy"";i:0;s:8:""thundery"";i:30;s:5:""snowy"";i:5;}",sunny
49,50,06.03.2012,0000-00-00 00:00:00,12,20,47,50,0.51,0,declined,"a:4:{s:5:""sunny"";i:65;s:5:""rainy"";i:15;s:8:""thundery"";i:0;s:5:""snowy"";i:20;}",
50,51,06.03.2012,06.03.2012 10:52,12,5,20,60,0.795,5,finished,"a:4:{s:5:""sunny"";i:40;s:5:""rainy"";i:60;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
51,52,06.03.2012,06.03.2012 08:40,12,5,48,30,0.795,5,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:10;s:8:""thundery"";i:10;s:5:""snowy"";i:5;}",sunny
52,53,06.03.2012,06.03.2012 08:46,12,48,5,30,0.375,5,finished,"a:4:{s:5:""sunny"";i:40;s:5:""rainy"";i:30;s:8:""thundery"";i:5;s:5:""snowy"";i:25;}",sunny
53,54,06.03.2012,06.03.2012 08:46,12,48,5,30,0.375,5,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:30;s:8:""thundery"";i:10;s:5:""snowy"";i:30;}",snowy
54,55,06.03.2012,06.03.2012 08:40,12,48,46,30,0.375,46,finished,"a:4:{s:5:""sunny"";i:65;s:5:""rainy"";i:35;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",rainy
55,56,06.03.2012,06.03.2012 08:46,12,48,5,30,0.375,5,finished,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:15;s:8:""thundery"";i:5;s:5:""snowy"";i:10;}",sunny
56,57,06.03.2012,06.03.2012 08:41,12,48,46,30,0.375,46,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:40;s:8:""thundery"";i:15;s:5:""snowy"";i:30;}",snowy
57,58,06.03.2012,0000-00-00 00:00:00,12,48,0,30,0.375,0,retired,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:35;s:8:""thundery"";i:25;s:5:""snowy"";i:10;}",
58,59,06.03.2012,06.03.2012 08:41,12,48,46,30,0.375,46,finished,"a:4:{s:5:""sunny"";i:85;s:5:""rainy"";i:10;s:8:""thundery"";i:5;s:5:""snowy"";i:0;}",rainy
59,60,06.03.2012,06.03.2012 11:41,12,5,20,100,0.975,5,finished,"a:4:{s:5:""sunny"";i:55;s:5:""rainy"";i:35;s:8:""thundery"";i:10;s:5:""snowy"";i:0;}",sunny
60,61,06.03.2012,0000-00-00 00:00:00,12,5,50,30,0.975,0,retired,"a:4:{s:5:""sunny"";i:55;s:5:""rainy"";i:15;s:8:""thundery"";i:15;s:5:""snowy"";i:15;}",
61,62,06.03.2012,06.03.2012 10:46,12,5,49,30,0.975,5,finished,"a:4:{s:5:""sunny"";i:55;s:5:""rainy"";i:0;s:8:""thundery"";i:30;s:5:""snowy"";i:15;}",sunny
62,63,06.03.2012,06.03.2012 10:32,12,5,48,150,0.975,5,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:70;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",rainy
63,64,06.03.2012,06.03.2012 11:36,12,5,54,30,0.975,5,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:5;s:8:""thundery"";i:25;s:5:""snowy"";i:55;}",snowy
64,65,06.03.2012,06.03.2012 12:48,12,5,9,30,0.975,5,finished,"a:4:{s:5:""sunny"";i:20;s:5:""rainy"";i:60;s:8:""thundery"";i:10;s:5:""snowy"";i:10;}",snowy
65,66,06.03.2012,06.03.2012 10:17,12,22,48,30,0.375,48,finished,"a:4:{s:5:""sunny"";i:95;s:5:""rainy"";i:5;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
