id,race_created,race_driven,track_id,challenger,opponent,money,fuel_consumption,winner,status,forecast,weather
1,2012-03-06 00:00:00,2012-03-06 00:00:00,12,5,2,30,0.63,5,finished,"a:4:{s:5:""sunny"";i:10;s:5:""rainy"";i:70;s:8:""thundery"";i:0;s:5:""snowy"";i:20;}",rainy
2,2012-03-06 00:00:00,2012-03-06 00:03:00,12,5,4,30,0.63,4,finished,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:15;s:8:""thundery"";i:0;s:5:""snowy"";i:15;}",sunny
3,2012-03-06 00:00:00,,3,10,5,30,0.63,0,declined,"a:4:{s:5:""sunny"";i:70;s:5:""rainy"";i:10;s:8:""thundery"";i:15;s:5:""snowy"";i:5;}",
4,2012-03-06 00:00:00,2012-03-06 00:06:00,12,5,4,30,0.63,5,finished,"a:4:{s:5:""sunny"";i:25;s:5:""rainy"";i:75;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
5,2012-03-06 00:00:00,,12,4,5,30,0.63,0,declined,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:20;s:8:""thundery"";i:30;s:5:""snowy"";i:5;}",
6,2012-03-06 00:00:00,2012-03-06 00:17:00,12,5,10,100,0.63,5,finished,"a:4:{s:5:""sunny"";i:30;s:5:""rainy"";i:20;s:8:""thundery"";i:5;s:5:""snowy"";i:45;}",snowy
7,2012-03-06 00:00:00,,12,8,5,30,0.63,0,declined,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:5;s:8:""thundery"";i:10;s:5:""snowy"";i:5;}",
8,2012-03-06 00:00:00,,12,8,2,30,0.63,0,retired,"a:4:{s:5:""sunny"";i:95;s:5:""rainy"";i:5;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",
9,2012-03-06 00:00:00,2012-03-06 00:08:00,3,10,4,30,0.63,4,finished,"a:4:{s:5:""sunny"";i:45;s:5:""rainy"";i:40;s:8:""thundery"";i:10;s:5:""snowy"";i:5;}",sunny
10,2012-03-06 00:00:00,2012-03-06 00:10:00,12,8,10,30,0.63,10,finished,"a:4:{s:5:""sunny"";i:100;s:5:""rainy"";i:0;s:8:""thundery"";i:0;s:5:""snowy"";i:0;}",sunny
11,2012-03-06 00:00:00,2012-03-06 00:11:00,12,4,8,30,0.63,8,finished,"a:4:{s:5:""sunny"";i:75;s:5:""rainy"";i:15;s:8:""thundery"";i:5;s:5:""snowy"";i:5;}",rainy
12,2012-03-06 00:00:00,2012-03-06 00:15:00,12,5,8,50,0.63,8,finished,"a:4:{s:5:""sunny"";i:80;s:5:""rainy"";i:10;s:8:""thundery"";i:0;s:5:""snowy"";i:10;}",sunny
13,2012-03-06 00:00:00,2012-03-06 00:21:00,12,5,8,70,0.63,5,finished,"a:4:{s:5:""sunny"";i:15;s:5:""rainy"";i:35;s:8:""thundery"";i:45;s:5:""snowy"";i:5;}",thundery
